Season,Crop,Location,Land_Area,Production_Cost,Expected_Yield,Market_Price,Water_Requirement,Demand,Profit
Kharif,Paddy,Coimbatore,1,14000,1100,28,High,Medium,16800
Kharif,Paddy,Coimbatore,2,28000,2200,28,High,Medium,33600
Kharif,Paddy,Coimbatore,3,41000,3300,29,High,Medium,54700
Kharif,Groundnut,Coimbatore,1,11000,550,55,Medium,High,19250
Kharif,Groundnut,Coimbatore,2,22000,1100,55,Medium,High,38500
Kharif,Groundnut,Coimbatore,5,52000,2800,58,Medium,High,110400
Rabi,Tomato,Salem,1,30000,10000,20,High,High,170000
Rabi,Tomato,Salem,2,58000,20500,22,High,High,393000
Rabi,Tomato,Coimbatore,1,28000,9500,24,High,High,200000
Rabi,Tomato,Madurai,2,55000,19000,23,High,High,382000
Kharif,Cotton,Madurai,1,25000,800,70,Medium,High,31000
Kharif,Cotton,Madurai,3,72000,2500,72,Medium,High,108000
Kharif,Maize,Erode,1,15000,2000,22,Low,Medium,29000
Kharif,Maize,Erode,2,29000,4100,22,Low,Medium,61200
Rabi,Chilli,Guntur,1,35000,1500,120,Medium,High,145000
Rabi,Chilli,Guntur,2,68000,3100,125,Medium,High,319500
Summer,Sugarcane,Tirupur,1,45000,35000,3,High,Medium,60000
Summer,Sugarcane,Tirupur,3,130000,108000,3.1,High,Medium,204800
Kharif,Paddy,Salem,1,14500,1150,27,High,Medium,16550
Rabi,Onion,Nashik,1,25000,8000,18,Medium,High,119000
Rabi,Onion,Coimbatore,2,48000,16500,19,Medium,High,265500
Summer,Watermelon,Dindigul,1,18000,12000,8,Medium,High,78000
Summer,Watermelon,Dindigul,2,34000,25000,8.5,Medium,High,178500
Kharif,Turmeric,Erode,1,50000,2500,90,High,High,175000
Kharif,Turmeric,Erode,2,95000,5200,92,High,High,383400
Rabi,Potato,Hassan,1,32000,12000,15,Medium,Medium,148000
Rabi,Wheat,Punjab,2,30000,4000,25,Low,High,70000
Summer,Banana,Theni,1,60000,25000,12,High,High,240000
Summer,Banana,Theni,2,115000,52000,12.5,High,High,535000
